,index,threshold,file,channel,genotype
337,63,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,6,WT
338,66,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,7,WT
339,78,20,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,11,WT
340,81,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,12,WT
341,84,40,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,13,WT
342,87,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,14,WT
343,90,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,15,WT
344,93,20,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,16,WT
345,96,20,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,1,WT
346,99,20,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,2,WT
347,105,20,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,4,WT
348,108,20,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,5,WT
349,114,20,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,7,WT
350,117,30,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,8,WT
351,120,20,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,9,WT
352,123,20,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,10,WT
353,129,20,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,12,WT
354,132,20,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,13,WT
355,138,30,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,15,WT
356,141,30,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,16,WT
357,144,20,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,1,WT
358,147,20,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,2,WT
359,150,20,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,3,WT
360,153,20,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,4,WT
361,156,10,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,5,WT
362,159,30,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,6,WT
363,162,20,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,7,WT
364,174,20,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,11,WT
365,177,10,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,12,WT
366,180,10,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,13,WT
367,183,20,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,14,WT
368,186,10,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,15,WT
369,189,20,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,16,WT
370,192,30,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,1,WT
371,195,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,2,WT
372,198,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,3,WT
373,201,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,4,WT
374,204,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,5,WT
375,207,30,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,6,WT
376,222,30,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,11,WT
377,225,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,12,WT
378,228,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,13,WT
379,231,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,14,WT
380,234,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,15,WT
381,237,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,16,WT
382,240,30,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,1,WT
383,243,30,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,2,WT
384,246,40,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,3,WT
385,252,20,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,5,WT
386,255,40,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,6,WT
387,270,30,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,11,WT
388,279,30,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,14,WT
389,282,30,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,15,WT
390,285,30,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,16,WT
391,288,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,1,KO
392,291,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,2,KO
393,294,30,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,3,KO
394,297,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,4,KO
395,300,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,5,KO
396,303,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,6,KO
397,306,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,7,KO
398,318,30,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,11,KO
399,321,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,12,KO
400,324,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,13,KO
401,327,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,14,KO
402,330,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,15,KO
403,333,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,16,KO
404,336,20,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,1,KO
405,339,20,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,2,KO
406,342,30,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,3,KO
407,345,20,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,4,KO
408,348,20,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,5,KO
409,354,20,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,7,KO
410,363,30,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,10,KO
411,369,20,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,12,KO
412,372,20,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,13,KO
413,375,20,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,14,KO
414,378,20,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,15,KO
415,381,30,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,16,KO
416,384,20,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,1,KO
417,387,20,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,2,KO
418,393,20,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,4,KO
419,396,20,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,5,KO
420,402,20,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,7,KO
421,417,20,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,12,KO
422,420,20,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,13,KO
423,423,30,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,14,KO
424,426,20,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,15,KO
425,429,20,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,16,KO
426,432,30,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,1,KO
427,435,20,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,2,KO
428,441,10,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,4,KO
429,444,20,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,5,KO
430,450,20,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,7,KO
431,453,30,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,8,KO
432,459,20,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,10,KO
433,462,30,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,11,KO
434,465,20,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,12,KO
435,468,10,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,13,KO
436,471,20,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,14,KO
437,474,20,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,15,KO
438,477,20,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,16,KO
439,480,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,1,KO
440,483,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,2,KO
441,486,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,3,KO
442,489,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,4,KO
443,492,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,5,KO
444,498,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,7,KO
445,501,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,8,KO
446,507,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,10,KO
447,510,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,11,KO
448,513,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,12,KO
449,516,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,13,KO
450,519,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,14,KO
451,522,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,15,KO
452,525,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,16,KO
453,528,20,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,1,KO
454,531,20,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,2,KO
455,534,20,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,3,KO
456,537,20,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,4,KO
457,540,20,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,5,KO
458,543,20,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,6,KO
459,546,20,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,7,KO
460,555,40,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,10,KO
461,558,20,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,11,KO
462,561,20,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,12,KO
463,564,20,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,13,KO
464,567,10,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,14,KO
465,570,20,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,15,KO
466,573,20,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,16,KO
467,576,20,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,1,KO
468,579,20,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,2,KO
469,582,20,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,3,KO
470,585,20,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,4,KO
471,588,10,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,5,KO
472,591,30,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,6,KO
473,594,30,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,7,KO
474,597,30,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,8,KO
475,603,30,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,10,KO
476,606,30,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,11,KO
477,609,20,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,12,KO
478,612,20,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,13,KO
479,615,20,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,14,KO
480,618,20,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,15,KO
481,621,20,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,16,KO
482,624,30,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,1,KO
483,627,30,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,2,KO
484,630,30,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,3,KO
485,633,20,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,4,KO
486,636,20,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,5,KO
487,639,30,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,6,KO
488,642,30,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,7,KO
489,645,40,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,8,KO
490,651,30,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,10,KO
491,654,20,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,11,KO
492,657,20,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,12,KO
493,660,20,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,13,KO
494,663,20,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,14,KO
495,666,30,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,15,KO
496,669,30,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,16,KO
497,672,20,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,1,KO
498,675,20,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,2,KO
499,678,30,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,3,KO
500,681,20,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,4,KO
501,684,20,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,5,KO
502,687,20,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,6,KO
503,690,40,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,7,KO
504,702,30,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,11,KO
505,705,20,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,12,KO
506,708,30,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,13,KO
507,711,20,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,14,KO
508,714,20,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,15,KO
509,717,20,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,16,KO
510,720,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,1,KO
511,723,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,2,KO
512,726,40,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,3,KO
513,729,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,4,KO
514,732,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,5,KO
515,735,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,6,KO
516,738,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,7,KO
517,741,40,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,8,KO
518,747,40,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,10,KO
519,750,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,11,KO
520,753,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,12,KO
521,756,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,13,KO
522,759,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,14,KO
523,762,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,15,KO
524,765,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,16,KO
525,768,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,1,WT
526,771,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,2,WT
527,774,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,3,WT
528,783,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,6,WT
529,798,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,11,WT
530,807,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,14,WT
531,810,40,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,15,WT
532,813,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,16,WT
533,816,30,F:\Fmr1 SD Tanks\WT\BA190313E\Block-3,1,WT
534,846,30,F:\Fmr1 SD Tanks\WT\BA190313E\Block-3,11,WT
535,864,30,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,1,WT
536,867,30,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,2,WT
537,870,30,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,3,WT
538,876,40,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,5,WT
539,879,40,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,6,WT
540,894,30,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,11,WT
541,897,40,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,12,WT
542,903,30,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,14,WT
543,909,30,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,16,WT
544,0,30,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,1,WT
545,3,40,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,2,WT
546,6,30,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,3,WT
547,9,40,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,4,WT
548,12,40,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,5,WT
549,15,40,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,6,WT
550,30,30,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,11,WT
551,33,40,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,12,WT
552,36,40,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,13,WT
553,39,30,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,14,WT
554,42,40,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,15,WT
555,45,40,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,16,WT
556,48,40,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,1,WT
557,54,40,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,3,WT
558,60,40,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,5,WT
559,63,30,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,6,WT
560,78,30,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,11,WT
561,87,30,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,14,WT
562,90,40,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,15,WT
563,93,30,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,16,WT
564,96,30,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,1,WT
565,99,30,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,2,WT
566,102,20,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,3,WT
567,105,40,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,4,WT
568,108,40,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,5,WT
569,111,30,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,6,WT
570,126,40,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,11,WT
571,129,40,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,12,WT
572,132,40,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,13,WT
573,135,20,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,14,WT
574,138,30,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,15,WT
575,141,40,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,16,WT
576,144,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,1,WT
577,147,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,2,WT
578,150,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,3,WT
579,156,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,5,WT
580,174,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,11,WT
581,177,40,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,12,WT
582,183,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,14,WT
583,186,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,15,WT
584,189,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,16,WT
585,192,40,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,1,WT
586,195,40,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,2,WT
587,198,30,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,3,WT
588,204,40,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,5,WT
589,207,40,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,6,WT
590,222,30,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,11,WT
591,231,30,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,14,WT
592,234,30,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,15,WT
593,237,30,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,16,WT
594,243,20,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,2,WT
595,252,20,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,5,WT
596,273,20,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,12,WT
597,276,20,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,13,WT
598,282,20,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,15,WT
599,285,20,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,16,WT
600,288,20,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,1,WT
601,291,40,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,2,WT
602,294,20,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,3,WT
603,303,20,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,6,WT
604,318,20,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,11,WT
605,327,20,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,14,WT
606,336,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,1,WT
607,339,40,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,2,WT
608,342,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,3,WT
609,348,40,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,5,WT
610,351,40,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,6,WT
611,354,40,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,7,WT
612,357,10,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,8,WT
613,366,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,11,WT
614,375,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,14,WT
615,378,40,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,15,WT
616,381,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,16,WT
617,384,30,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,1,KO
618,387,30,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,2,KO
619,390,30,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,3,KO
620,396,40,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,5,KO
621,399,30,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,6,KO
622,414,30,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,11,KO
623,423,30,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,14,KO
624,426,30,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,15,KO
625,429,30,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,16,KO
626,432,20,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,1,KO
627,435,10,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,2,KO
628,438,20,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,3,KO
629,441,20,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,4,KO
630,444,10,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,5,KO
631,450,20,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,7,KO
632,459,20,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,10,KO
633,465,10,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,12,KO
634,468,20,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,13,KO
635,471,20,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,14,KO
636,474,20,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,15,KO
637,477,20,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,16,KO
638,0,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,1,KO
639,9,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,2,KO
640,18,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,3,KO
641,27,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,4,KO
642,36,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,5,KO
643,45,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,6,KO
644,54,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,7,KO
645,81,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,10,KO
646,90,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,11,KO
647,99,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,12,KO
648,108,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,13,KO
649,117,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,14,KO
650,126,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,15,KO
651,135,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,16,KO
652,144,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,1,KO
653,153,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,2,KO
654,162,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,3,KO
655,171,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,4,KO
656,180,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,5,KO
657,189,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,6,KO
658,198,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,7,KO
659,225,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,10,KO
660,234,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,11,KO
661,243,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,12,KO
662,252,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,13,KO
663,261,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,14,KO
664,270,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,15,KO
