,index,CF,file,channel,genotype
332,129,12000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,28,WT
333,132,12000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,29,WT
334,135,30000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,30,WT
335,138,24000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,31,WT
336,141,24000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,32,WT
337,153,8000,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,20,KO
338,162,3000,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,23,KO
339,165,4000,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,24,KO
340,177,6000,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,28,KO
341,180,8000,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,29,KO
342,183,45000,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,30,KO
343,189,30000,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,32,KO
344,192,30000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,17,KO
345,195,35000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,18,KO
346,198,30000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,19,KO
347,201,6000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,20,KO
348,204,24000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,21,KO
349,207,30000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,22,KO
350,210,6000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,23,KO
351,213,6000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,24,KO
352,216,4000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,25,KO
353,219,3000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,26,KO
354,222,24000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,27,KO
355,225,12000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,28,KO
356,228,30000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,29,KO
357,231,12000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,30,KO
358,234,30000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,31,KO
359,237,30000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,32,KO
360,0,20000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,17,KO
361,9,12000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,18,KO
362,36,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,21,KO
363,54,4000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,23,KO
364,72,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,25,KO
365,81,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,26,KO
366,99,6000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,28,KO
367,108,6000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,29,KO
368,117,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,30,KO
369,126,20000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,31,KO
370,135,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,32,KO
371,144,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,17,KO
372,153,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,18,KO
373,162,6000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,19,KO
374,234,12000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,27,KO
375,243,12000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,28,KO
376,261,12000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,30,KO
377,279,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,32,KO
378,288,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,17,KO
379,297,20000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,18,KO
380,306,12000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,19,KO
381,315,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,20,KO
382,324,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,21,KO
383,342,4000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,23,KO
384,351,6000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,24,KO
385,360,3000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,25,KO
386,369,6000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,26,KO
387,378,20000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,27,KO
388,387,6000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,28,KO
389,396,4000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,29,KO
390,405,20000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,30,KO
391,414,20000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,31,KO
392,423,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,32,KO
393,432,30000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,17,WT
394,441,24000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,18,WT
395,450,30000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,19,WT
396,459,12000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,20,WT
397,468,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,21,WT
398,477,30000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,22,WT
399,486,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,23,WT
400,495,6000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,24,WT
401,504,4000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,25,WT
402,513,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,26,WT
403,531,24000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,28,WT
404,540,12000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,29,WT
405,549,30000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,30,WT
406,558,24000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,31,WT
407,567,30000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,32,WT
408,576,35000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,17,WT
409,585,30000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,18,WT
410,594,45000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,19,WT
411,603,24000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,20,WT
412,612,24000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,21,WT
413,621,50000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,22,WT
414,630,30000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,23,WT
415,639,24000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,24,WT
416,648,24000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,25,WT
417,657,30000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,26,WT
418,666,45000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,27,WT
419,675,20000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,28,WT
420,684,24000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,29,WT
421,693,35000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,30,WT
422,702,30000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,31,WT
423,711,30000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,32,WT
424,0,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,17,WT
425,9,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,18,WT
426,27,12000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,20,WT
427,36,12000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,21,WT
428,54,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,23,WT
429,72,4000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,25,WT
430,81,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,26,WT
431,99,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,28,WT
432,108,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,29,WT
433,126,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,31,WT
434,135,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,32,WT
435,144,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,17,WT
436,153,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,18,WT
437,162,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,19,WT
438,171,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,20,WT
439,180,20000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,21,WT
440,198,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,23,WT
441,216,4000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,25,WT
442,225,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,26,WT
443,243,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,28,WT
444,252,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,29,WT
445,270,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,31,WT
446,279,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,32,WT
447,288,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,17,KO
448,297,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,18,KO
449,306,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,19,KO
450,315,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,20,KO
451,324,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,21,KO
452,333,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,22,KO
453,342,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,23,KO
454,351,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,24,KO
455,360,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,25,KO
456,369,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,26,KO
457,378,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,27,KO
458,387,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,28,KO
459,396,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,29,KO
460,405,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,30,KO
461,414,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,31,KO
462,423,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,32,KO
463,432,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,17,KO
464,441,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,18,KO
465,450,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,19,KO
466,459,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,20,KO
467,468,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,21,KO
468,477,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,22,KO
469,486,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,23,KO
470,495,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,24,KO
471,504,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,25,KO
472,513,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,26,KO
473,522,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,27,KO
474,531,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,28,KO
475,540,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,29,KO
476,549,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,30,KO
477,558,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,31,KO
478,567,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,32,KO
