,Unnamed: 0,index,CF,file,channel,genotype
446,446,279,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,32,WT
447,447,288,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,17,KO
448,448,297,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,18,KO
449,449,306,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,19,KO
450,450,315,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,20,KO
451,451,324,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,21,KO
452,452,333,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,22,KO
453,453,342,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,23,KO
454,454,351,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,24,KO
455,455,360,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,25,KO
456,456,369,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,26,KO
457,457,378,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,27,KO
458,458,387,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,28,KO
459,459,396,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,29,KO
460,460,405,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,30,KO
461,461,414,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,31,KO
462,462,423,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,32,KO
463,463,432,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,17,KO
464,464,441,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,18,KO
465,465,450,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,19,KO
466,466,459,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,20,KO
467,467,468,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,21,KO
468,468,477,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,22,KO
469,469,486,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,23,KO
470,470,495,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,24,KO
471,471,504,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,25,KO
472,472,513,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,26,KO
473,473,522,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,27,KO
474,474,531,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,28,KO
475,475,540,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,29,KO
476,476,549,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,30,KO
477,477,558,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,31,KO
478,478,567,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,32,KO
