,index,threshold,file,channel,genotype
340,177,30,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,28,KO
341,180,40,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,29,KO
342,183,50,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,30,KO
343,189,30,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,32,KO
344,192,20,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,17,KO
345,195,20,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,18,KO
346,198,30,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,19,KO
347,201,40,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,20,KO
348,204,30,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,21,KO
349,207,30,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,22,KO
350,210,20,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,23,KO
351,213,10,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,24,KO
352,216,20,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,25,KO
353,219,10,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,26,KO
354,222,30,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,27,KO
355,225,20,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,28,KO
356,228,20,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,29,KO
357,231,20,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,30,KO
358,234,30,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,31,KO
359,237,20,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,32,KO
360,0,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,17,KO
361,9,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,18,KO
362,36,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,21,KO
363,54,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,23,KO
364,72,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,25,KO
365,81,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,26,KO
366,99,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,28,KO
367,108,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,29,KO
368,117,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,30,KO
369,126,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,31,KO
370,135,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,32,KO
371,144,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,17,KO
372,153,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,18,KO
373,162,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,19,KO
374,234,50,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,27,KO
375,243,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,28,KO
376,261,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,30,KO
377,279,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,32,KO
378,288,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,17,KO
379,297,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,18,KO
380,306,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,19,KO
381,315,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,20,KO
382,324,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,21,KO
383,342,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,23,KO
384,351,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,24,KO
385,360,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,25,KO
386,369,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,26,KO
387,378,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,27,KO
388,387,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,28,KO
389,396,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,29,KO
390,405,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,30,KO
391,414,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,31,KO
392,423,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,32,KO
393,432,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,17,WT
394,441,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,18,WT
395,450,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,19,WT
396,459,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,20,WT
397,468,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,21,WT
398,477,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,22,WT
399,486,10,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,23,WT
400,495,10,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,24,WT
401,504,10,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,25,WT
402,513,10,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,26,WT
403,531,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,28,WT
404,540,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,29,WT
405,549,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,30,WT
406,558,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,31,WT
407,567,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,32,WT
408,576,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,17,WT
409,585,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,18,WT
410,594,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,19,WT
411,603,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,20,WT
412,612,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,21,WT
413,621,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,22,WT
414,630,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,23,WT
415,639,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,24,WT
416,648,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,25,WT
417,657,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,26,WT
418,666,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,27,WT
419,675,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,28,WT
420,684,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,29,WT
421,693,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,30,WT
422,702,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,31,WT
423,711,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,32,WT
424,0,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,17,WT
425,9,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,18,WT
426,27,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,20,WT
427,36,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,21,WT
428,54,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,23,WT
429,72,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,25,WT
430,81,40,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,26,WT
431,99,40,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,28,WT
432,108,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,29,WT
433,126,40,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,31,WT
434,135,40,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,32,WT
435,144,40,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,17,WT
436,153,40,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,18,WT
437,162,40,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,19,WT
438,171,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,20,WT
439,180,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,21,WT
440,198,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,23,WT
441,216,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,25,WT
442,225,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,26,WT
443,243,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,28,WT
444,252,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,29,WT
445,270,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,31,WT
446,279,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,32,WT
447,288,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,17,KO
448,297,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,18,KO
449,306,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,19,KO
450,315,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,20,KO
451,324,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,21,KO
452,333,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,22,KO
453,342,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,23,KO
454,351,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,24,KO
455,360,10,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,25,KO
456,369,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,26,KO
457,378,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,27,KO
458,387,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,28,KO
459,396,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,29,KO
460,405,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,30,KO
461,414,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,31,KO
462,423,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,32,KO
463,432,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,17,KO
464,441,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,18,KO
465,450,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,19,KO
466,459,40,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,20,KO
467,468,40,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,21,KO
468,477,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,22,KO
469,486,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,23,KO
470,495,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,24,KO
471,504,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,25,KO
472,513,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,26,KO
473,522,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,27,KO
474,531,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,28,KO
475,540,40,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,29,KO
476,549,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,30,KO
477,558,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,31,KO
478,567,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,32,KO
