,index,CF,file,channel,genotype
329,123,16000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,10,WT
330,129,16000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,12,WT
331,132,16000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,13,WT
332,138,16000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,15,WT
333,141,20000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,16,WT
334,144,2000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,1,WT
335,147,4000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,2,WT
336,150,2000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,3,WT
337,153,4000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,4,WT
338,156,4000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,5,WT
339,159,1500,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,6,WT
340,162,4000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,7,WT
341,174,2000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,11,WT
342,177,4000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,12,WT
343,180,4000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,13,WT
344,183,4000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,14,WT
345,186,4000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,15,WT
346,189,4000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,16,WT
347,192,2000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,1,WT
348,195,2000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,2,WT
349,198,2000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,3,WT
350,201,6000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,4,WT
351,204,4000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,5,WT
352,207,1500,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,6,WT
353,222,4000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,11,WT
354,225,4000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,12,WT
355,228,6000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,13,WT
356,231,3000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,14,WT
357,234,4000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,15,WT
358,237,3000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,16,WT
359,240,12000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,1,WT
360,243,12000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,2,WT
361,246,45000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,3,WT
362,252,16000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,5,WT
363,255,35000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,6,WT
364,270,35000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,11,WT
365,279,20000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,14,WT
366,282,20000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,15,WT
367,285,12000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,16,WT
368,288,8000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,1,KO
369,291,16000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,2,KO
370,294,6000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,3,KO
371,297,16000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,4,KO
372,300,16000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,5,KO
373,303,6000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,6,KO
374,306,8000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,7,KO
375,318,6000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,11,KO
376,321,12000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,12,KO
377,324,12000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,13,KO
378,327,8000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,14,KO
379,330,8000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,15,KO
380,333,16000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,16,KO
381,336,24000,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,1,KO
382,339,12000,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,2,KO
383,342,30000,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,3,KO
384,345,24000,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,4,KO
385,348,16000,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,5,KO
386,354,16000,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,7,KO
387,363,12000,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,10,KO
388,369,16000,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,12,KO
389,372,16000,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,13,KO
390,375,16000,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,14,KO
391,378,24000,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,15,KO
392,381,24000,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,16,KO
393,384,1500,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,1,KO
394,387,2000,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,2,KO
395,393,2000,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,4,KO
396,396,2000,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,5,KO
397,402,2000,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,7,KO
398,417,2000,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,12,KO
399,420,2000,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,13,KO
400,423,1500,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,14,KO
401,426,2000,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,15,KO
402,429,2000,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,16,KO
403,432,20000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,1,KO
404,435,24000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,2,KO
405,441,20000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,4,KO
406,444,12000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,5,KO
407,450,20000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,7,KO
408,453,16000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,8,KO
409,459,16000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,10,KO
410,462,12000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,11,KO
411,465,20000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,12,KO
412,468,20000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,13,KO
413,471,20000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,14,KO
414,474,20000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,15,KO
415,477,24000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,16,KO
416,480,24000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,1,KO
417,483,30000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,2,KO
418,486,40000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,3,KO
419,489,24000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,4,KO
420,492,24000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,5,KO
421,498,30000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,7,KO
422,501,35000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,8,KO
423,507,30000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,10,KO
424,510,30000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,11,KO
425,513,24000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,12,KO
426,516,16000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,13,KO
427,519,30000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,14,KO
428,522,24000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,15,KO
429,525,30000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,16,KO
430,528,8000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,1,KO
431,531,8000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,2,KO
432,534,6000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,3,KO
433,537,6000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,4,KO
434,540,6000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,5,KO
435,543,6000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,6,KO
436,546,6000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,7,KO
437,555,16000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,10,KO
438,558,6000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,11,KO
439,561,8000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,12,KO
440,564,8000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,13,KO
441,567,6000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,14,KO
442,570,6000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,15,KO
443,573,8000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,16,KO
444,576,24000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,1,KO
445,579,24000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,2,KO
446,582,35000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,3,KO
447,585,20000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,4,KO
448,588,16000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,5,KO
449,591,40000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,6,KO
450,594,24000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,7,KO
451,597,16000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,8,KO
452,603,24000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,10,KO
453,606,35000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,11,KO
454,609,12000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,12,KO
455,612,16000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,13,KO
456,615,35000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,14,KO
457,618,12000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,15,KO
458,621,12000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,16,KO
459,624,1500,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,1,KO
460,627,3000,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,2,KO
461,630,1500,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,3,KO
462,633,3000,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,4,KO
463,636,1500,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,5,KO
464,639,1500,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,6,KO
465,642,2000,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,7,KO
466,645,8000,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,8,KO
467,651,2000,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,10,KO
468,654,1500,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,11,KO
469,657,3000,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,12,KO
470,660,2000,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,13,KO
471,663,1500,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,14,KO
472,666,2000,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,15,KO
473,669,3000,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,16,KO
474,672,12000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,1,KO
475,675,20000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,2,KO
476,678,20000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,3,KO
477,681,16000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,4,KO
478,684,16000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,5,KO
479,687,30000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,6,KO
480,690,16000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,7,KO
481,702,24000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,11,KO
482,705,16000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,12,KO
483,708,16000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,13,KO
484,711,16000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,14,KO
485,714,12000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,15,KO
486,717,12000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,16,KO
487,720,12000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,1,KO
488,723,24000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,2,KO
489,726,40000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,3,KO
490,729,16000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,4,KO
491,732,40000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,5,KO
492,735,35000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,6,KO
493,738,12000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,7,KO
494,741,6000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,8,KO
495,747,12000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,10,KO
496,750,40000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,11,KO
497,753,12000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,12,KO
498,756,12000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,13,KO
499,759,35000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,14,KO
500,762,16000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,15,KO
501,765,24000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,16,KO
502,768,45000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,1,WT
503,771,45000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,2,WT
504,774,30000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,3,WT
505,783,45000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,6,WT
506,798,35000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,11,WT
507,807,40000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,14,WT
508,810,45000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,15,WT
509,813,45000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,16,WT
510,816,24000,F:\Fmr1 SD Tanks\WT\BA190313E\Block-3,1,WT
511,846,24000,F:\Fmr1 SD Tanks\WT\BA190313E\Block-3,11,WT
512,864,30000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,1,WT
513,867,40000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,2,WT
514,870,40000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,3,WT
515,876,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,5,WT
516,879,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,6,WT
517,894,35000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,11,WT
518,897,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,12,WT
519,903,30000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,14,WT
520,909,30000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,16,WT
521,0,30000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,1,WT
522,3,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,2,WT
523,6,30000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,3,WT
524,9,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,4,WT
525,12,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,5,WT
526,15,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,6,WT
527,30,30000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,11,WT
528,33,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,12,WT
529,36,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,13,WT
530,39,30000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,14,WT
531,42,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,15,WT
532,45,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,16,WT
533,48,6000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,1,WT
534,54,16000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,3,WT
535,60,35000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,5,WT
536,63,8000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,6,WT
537,78,3000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,11,WT
538,87,8000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,14,WT
539,90,35000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,15,WT
540,93,35000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,16,WT
541,96,8000,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,1,WT
542,99,8000,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,2,WT
543,102,12000,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,3,WT
544,105,35000,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,4,WT
545,108,35000,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,5,WT
546,111,8000,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,6,WT
547,126,4000,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,11,WT
548,129,35000,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,12,WT
549,132,35000,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,13,WT
550,135,8000,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,14,WT
551,138,16000,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,15,WT
552,141,35000,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,16,WT
553,144,6000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,1,WT
554,147,6000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,2,WT
555,150,12000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,3,WT
556,156,8000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,5,WT
557,174,12000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,11,WT
558,177,4000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,12,WT
559,183,6000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,14,WT
560,186,6000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,15,WT
561,189,6000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,16,WT
562,192,50000,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,1,WT
563,195,50000,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,2,WT
564,198,30000,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,3,WT
565,204,45000,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,5,WT
566,207,35000,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,6,WT
567,222,30000,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,11,WT
568,231,30000,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,14,WT
569,234,50000,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,15,WT
570,237,30000,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,16,WT
571,243,4000,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,2,WT
572,252,6000,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,5,WT
573,273,6000,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,12,WT
574,276,6000,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,13,WT
575,282,3000,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,15,WT
576,285,4000,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,16,WT
577,288,16000,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,1,WT
578,291,24000,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,2,WT
579,294,30000,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,3,WT
580,303,24000,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,6,WT
581,318,24000,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,11,WT
582,327,30000,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,14,WT
583,336,24000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,1,WT
584,339,45000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,2,WT
585,342,30000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,3,WT
586,348,45000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,5,WT
587,351,35000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,6,WT
588,354,35000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,7,WT
589,357,1000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,8,WT
590,366,30000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,11,WT
591,375,24000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,14,WT
592,378,45000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,15,WT
593,381,35000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,16,WT
594,384,35000,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,1,KO
595,387,35000,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,2,KO
596,390,35000,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,3,KO
597,396,45000,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,5,KO
598,399,6000,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,6,KO
599,414,35000,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,11,KO
600,423,35000,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,14,KO
601,426,12000,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,15,KO
602,429,35000,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,16,KO
603,432,8000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,1,KO
604,435,6000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,2,KO
605,438,12000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,3,KO
606,441,12000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,4,KO
607,444,12000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,5,KO
608,450,8000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,7,KO
609,459,12000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,10,KO
610,465,8000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,12,KO
611,468,12000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,13,KO
612,471,12000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,14,KO
613,474,4000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,15,KO
614,477,6000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,16,KO
615,0,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,1,KO
616,9,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,2,KO
617,18,20000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,3,KO
618,27,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,4,KO
619,36,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,5,KO
620,45,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,6,KO
621,54,20000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,7,KO
622,81,20000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,10,KO
623,90,20000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,11,KO
624,99,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,12,KO
625,108,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,13,KO
626,117,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,14,KO
627,126,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,15,KO
628,135,20000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,16,KO
629,144,4000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,1,KO
630,153,4000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,2,KO
631,162,6000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,3,KO
632,171,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,4,KO
633,180,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,5,KO
634,189,3000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,6,KO
635,198,6000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,7,KO
636,225,6000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,10,KO
637,234,6000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,11,KO
638,243,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,12,KO
639,252,6000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,13,KO
640,261,4000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,14,KO
641,270,4000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,15,KO
642,279,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,16,KO
643,288,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,1,KO
644,297,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,2,KO
645,306,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,3,KO
646,315,20000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,4,KO
